name	acquisition.price_amount	image.available_sizes[1]	image.available_sizes[1][1]	_id
"Wetpaint"	30000000	 [ [ 250, 125 ], "assets/images/resized/0000/3604/3604v14-max-250x250.jpg" ]	 "assets/images/resized/0000/3604/3604v14-max-250x250.jpg" 	{ "$oid" : "52cdef7c4bab8bd675297d8a" }
"AdventNet"		 [ [ 150, 55 ], "assets/images/resized/0001/9732/19732v1-max-250x250.png" ]	 "assets/images/resized/0001/9732/19732v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d8b" }
"Zoho"		 [ [ 250, 92 ], "assets/images/resized/0000/3946/3946v12-max-250x250.png" ]	 "assets/images/resized/0000/3946/3946v12-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d8c" }
"Digg"	500000	 [ [ 250, 250 ], "assets/images/resized/0000/4138/4138v5-max-250x250.jpg" ]	 "assets/images/resized/0000/4138/4138v5-max-250x250.jpg" 	{ "$oid" : "52cdef7c4bab8bd675297d8d" }
"Facebook"		 [ [ 245, 100 ], "assets/images/resized/0000/4561/4561v1-max-250x250.png" ]	 "assets/images/resized/0000/4561/4561v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d8e" }
"Omnidrive"		 [ [ 150, 85 ], "assets/images/resized/0000/0823/823v1-max-250x250.jpg" ]	 "assets/images/resized/0000/0823/823v1-max-250x250.jpg" 	{ "$oid" : "52cdef7c4bab8bd675297d8f" }
"Postini"	625000000	 [ [ 183, 75 ], "assets/images/resized/0000/3697/3697v1-max-250x250.png" ]	 "assets/images/resized/0000/3697/3697v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d90" }
"Geni"	null	 [ [ 166, 67 ], "assets/images/resized/0000/1945/1945v1-max-250x250.png" ]	 "assets/images/resized/0000/1945/1945v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d91" }
"Flektor"	20000000	 [ [ 186, 85 ], "assets/images/resized/0000/2398/2398v4-max-250x250.png" ]	 "assets/images/resized/0000/2398/2398v4-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d92" }
"Fox Interactive Media"		 [ [ 232, 111 ], "assets/images/resized/0001/0824/10824v1-max-250x250.png" ]	 "assets/images/resized/0001/0824/10824v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d93" }
"Twitter"		 [ [ 250, 250 ], "assets/images/resized/0000/2755/2755v33-max-250x250.png" ]	 "assets/images/resized/0000/2755/2755v33-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d94" }
"StumbleUpon"	29000000	 [ [ 250, 64 ], "assets/images/resized/0004/1614/41614v6-max-250x250.png" ]	 "assets/images/resized/0004/1614/41614v6-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d95" }
"Gizmoz"	null			{ "$oid" : "52cdef7c4bab8bd675297d96" }
"Scribd"		 [ [ 114, 114 ], "assets/images/resized/0000/3184/3184v25-max-250x250.png" ]	 "assets/images/resized/0000/3184/3184v25-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d97" }
"Slacker"		 [ [ 250, 101 ], "assets/images/resized/0001/7589/17589v4-max-250x250.jpg" ]	 "assets/images/resized/0001/7589/17589v4-max-250x250.jpg" 	{ "$oid" : "52cdef7c4bab8bd675297d98" }
"Lala"	80000000	 [ [ 160, 81 ], "assets/images/resized/0000/3544/3544v7-max-250x250.png" ]	 "assets/images/resized/0000/3544/3544v7-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d99" }
"Helio"	39000000	 [ [ 250, 110 ], "assets/images/resized/0000/3598/3598v1-max-250x250.jpg" ]	 "assets/images/resized/0000/3598/3598v1-max-250x250.jpg" 	{ "$oid" : "52cdef7c4bab8bd675297d9a" }
"eBay"		 [ [ 210, 87 ], "assets/images/resized/0000/3625/3625v1-max-250x250.png" ]	 "assets/images/resized/0000/3625/3625v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d9b" }
"MeetMoi"		 [ [ 143, 59 ], "assets/images/resized/0000/3670/3670v8-max-250x250.png" ]	 "assets/images/resized/0000/3670/3670v8-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d9c" }
"Joost"	null	 [ [ 199, 85 ], "assets/images/resized/0000/3718/3718v1-max-250x250.png" ]	 "assets/images/resized/0000/3718/3718v1-max-250x250.png" 	{ "$oid" : "52cdef7c4bab8bd675297d9d" }
"CBS"		 [ [ 200, 95 ], "assets/images/resized/0001/8441/18441v2-max-250x250.jpg" ]	 "assets/images/resized/0001/8441/18441v2-max-250x250.jpg" 	{ "$oid" : "52cdef7c4bab8bd675297d9e" }
